Id,Predicted
0,3311.0
1,2797.0
2,3826.0
3,1996.0
4,2630.0
5,2104.0
6,2142.0
7,3391.0
8,2778.0
9,4235.0
10,2106.0
11,2614.0
12,3007.0
13,2590.0
14,2286.0
15,2649.0
16,1989.0
17,2662.0
18,2389.0
19,2740.0
20,1858.0
21,3153.0
22,2316.0
23,2801.0
24,3021.0
25,1970.0
26,2460.0
27,2553.0
28,2310.0
29,3159.0
30,3131.0
31,2442.0
32,2275.0
33,2360.0
34,1892.0
35,2049.0
36,1521.0
37,2549.0
38,2835.0
39,2968.0
40,1946.0
41,3001.0
42,2978.0
43,2915.0
44,1844.0
45,3336.0
46,2344.0
47,2377.0
48,2071.0
49,1847.0
50,1885.0
51,2821.0
52,2392.0
53,1670.0
54,1924.0
55,3518.0
56,2705.0
57,3052.0
58,2283.0
59,2781.0
60,2367.0
61,2346.0
62,2936.0
63,2308.0
64,2733.0
65,2918.0
66,2398.0
67,2445.0
68,2411.0
69,2755.0
70,1744.0
71,2191.0
72,2661.0
73,2027.0
74,2680.0
75,3127.0
76,2049.0
77,2203.0
78,3208.0
79,2694.0
80,2872.0
81,2634.0
82,3295.0
83,2332.0
84,2318.0
85,2398.0
86,3043.0
87,2390.0
88,1982.0
89,2465.0
90,2765.0
91,2360.0
92,2614.0
93,2033.0
94,4108.0
95,2514.0
96,2656.0
97,2164.0
98,2492.0
99,2487.0
100,2733.0
101,3080.0
102,2865.0
103,3289.0
104,2298.0
105,4249.0
106,1847.0
107,2141.0
108,3149.0
109,2486.0
110,1773.0
111,2079.0
112,3958.0
113,2187.0
114,1961.0
115,2037.0
116,2091.0
117,2424.0
118,2251.0
119,2082.0
120,3286.0
121,2645.0
122,3952.0
123,2683.0
124,2534.0
125,3049.0
126,2433.0
127,1962.0
128,2725.0
129,3022.0
130,4448.0
131,1896.0
132,3684.0
133,3105.0
134,2547.0
135,1999.0
136,3286.0
137,3079.0
138,2446.0
139,2071.0
140,2958.0
141,3169.0
142,1925.0
143,2652.0
144,3045.0
145,2220.0
146,2904.0
147,2438.0
148,2525.0
149,2572.0
150,3113.0
151,2815.0
152,3361.0
153,3419.0
154,1987.0
155,3106.0
156,2220.0
157,2829.0
158,3053.0
159,3432.0
160,2640.0
161,2357.0
162,2374.0
163,3168.0
164,2824.0
165,2103.0
166,3304.0
167,1896.0
168,2964.0
169,2641.0
170,1925.0
171,2316.0
172,2388.0
173,2447.0
174,2303.0
175,2421.0
176,3056.0
177,3185.0
178,2019.0
179,2364.0
180,2250.0
181,3970.0
182,2563.0
183,2551.0
184,4195.0
185,2345.0
186,2171.0
187,2242.0
188,2961.0
189,2209.0
190,3381.0
191,2176.0
192,2893.0
193,4176.0
194,2470.0
195,2754.0
196,3241.0
197,1895.0
198,3307.0
199,3034.0
200,2658.0
201,2242.0
202,2002.0
203,2209.0
204,2015.0
205,2698.0
206,2736.0
207,2082.0
208,3862.0
209,2195.0
210,2426.0
211,2537.0
212,2533.0
213,3507.0
214,2128.0
215,2496.0
216,3023.0
217,2518.0
218,2101.0
219,1932.0
220,2824.0
221,2002.0
222,2403.0
223,2696.0
224,1743.0
225,2362.0
226,2275.0
227,2453.0
228,3324.0
229,2686.0
230,2055.0
231,3316.0
232,3342.0
233,3131.0
234,2463.0
235,2131.0
236,2184.0
237,3263.0
238,2536.0
239,2908.0
240,3002.0
241,2434.0
242,2574.0
243,2600.0
244,2523.0
245,2895.0
246,3313.0
247,2387.0
248,3455.0
249,3288.0
250,2797.0
251,1997.0
252,3892.0
253,2801.0
254,2372.0
255,2364.0
256,2359.0
257,1905.0
258,2154.0
259,2417.0
260,2121.0
261,2235.0
262,3300.0
263,2139.0
264,2258.0
265,3309.0
266,2559.0
267,2751.0
268,1911.0
269,2193.0
270,2745.0
271,2378.0
272,2140.0
273,2417.0
274,2117.0
275,3053.0
276,2401.0
277,2437.0
278,4149.0
279,2235.0
280,3497.0
281,2529.0
282,2856.0
283,3398.0
284,1203.0
285,3188.0
286,2611.0
287,2413.0
288,2624.0
289,3386.0
290,2274.0
291,2628.0
292,1809.0
293,4924.0
294,2538.0
295,3568.0
296,3795.0
297,1822.0
298,2461.0
299,2365.0
300,4275.0
301,2107.0
302,2088.0
303,2962.0
304,1870.0
305,2196.0
306,2467.0
